entity,instance,name,value,dataset_date,table_name,tag,check,date,category,level
Column,msisdn,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,session,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,cell_name,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,site_id,Completeness,0.972629521,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,session_type,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,session_status,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,vehicle_type,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,*,Size,14997,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,msisdn,CountDistinct,8580,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,session,CountDistinct,14997,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_hit,Minimum,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_duration_session,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_volume,Minimum,40,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,distance,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_distance,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,sum_stay_duration,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,sum_move_duration,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,count_stay,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,count_move,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_hit,Maximum,300,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_duration_session,Maximum,86100,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_volume,Maximum,884229986,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,distance,Maximum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_distance,Maximum,85.4491,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,sum_stay_duration,Maximum,66600,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,sum_move_duration,Maximum,44400,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,count_stay,Maximum,68,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,count_move,Maximum,79,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_hit,Mean,3.219310529,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_duration_session,Mean,653.6307261,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_volume,Mean,5918817.062,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,distance,Mean,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
Column,total_distance,Mean,0.569583457,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,Centanet,Application
